repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
adiazh/GraphUDR,org.neo4j+neo4j-filename:pom.xml,master,0,0,25,25,379
AdiBaghel/Semantic-Web-Data-Store,org.neo4j+neo4j-filename:pom.xml,master,0,1,412,412,421
aditya-2201/semanticsearch,org.neo4j+neo4j-filename:pom.xml,master,0,0,561,561,561
aditya-2201/semanticsearch_ui,org.neo4j+neo4j-filename:pom.xml,master,0,0,561,560,561
adityab/turbulence,org.neo4j+neo4j-filename:pom.xml,master,3,1,2017,2615,2682
adityaraok/egen-be-challenge,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1039,1039,1039
adityashanbhog/SocialNetworking,org.neo4j+neo4j-filename:pom.xml,master,0,0,39,39,144
adonandal/btest,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1016,1359,1485
adonandal/SupplyPlan,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1562,1562,1562
AdoptOpenJDK/jheappo,org.neo4j+neo4j-filename:pom.xml,master,13,11,13,13,418
adorjanszeles/PathFinder,org.neo4j+neo4j-filename:pom.xml,master,0,0,963,928,978
adperezmorales/gsoc-freebase-disambiguation-engine,org.neo4j+neo4j-filename:pom.xml & org.neo4j.doc+neo4j-filename:pom.xml,master,4,0,1251,2093,2098
adperezmorales/gsoc-freebase-graph-importer,org.neo4j+neo4j-filename:pom.xml,master,14,8,151,1954,2148
adrhub/WebShop,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1379,1344,1379
adriancosma88/testJpa,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1297,1297,1297
AdrianFall/Handball-FYP,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1503,1493,1695
adrianfrisch/skillevent_nosql,org.neo4j+neo4j-filename:pom.xml,master,0,0,1498,1489,1512
adrianoalmeida7/neo4j-places-and-people,org.neo4j+neo4j-filename:pom.xml,master,3,1,1971,2925,3006
adrianohardcore/angular-boot-rest,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1324,1324,1345
adrianohardcore/documentacao-spring-boot,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1348,1335,1465
adribaena/Forms-for-NEO4J,org.neo4j+neo4j-filename:pom.xml,master,0,0,1150,1149,1162
adriens/files2neo4j,org.neo4j+neo4j-filename:pom.xml,master,0,0,1023,560,1023
adriens/schemacrawler-plugin-neo4j,org.neo4j+neo4j-filename:pom.xml,master,6,5,123,593,1436
adstimer/Webservice,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,1115,1115,1640
adwantgoutam/BikeShare,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,14,1603,1603
adwantgoutam/bikeshare11,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,1,14,1644,1681
adwantgoutam/cmpe273-assignment2,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,14,1689,1690
adwantgoutam/cmpe273submission,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,14,1689,1689
adwantgoutam/cmpe273submission-temp,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,14,1714,1714
adwantgoutam/Digital-Wallet,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,1,14,1542,1542
aelgali/neo4jtut,org.neo4j+neo4j-filename:pom.xml,master,0,0,1951,1951,1951
aelouassif/Neo4j,org.neo4j+neo4j-filename:pom.xml,master,0,0,527,514,527
aercanunal/disco,org.neo4j+neo4j-filename:pom.xml,master,0,0,1196,1105,1196
Aeronbroker/Aeron,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,18,10,173,463,1909
Aeronbroker/NECIoTKnowledge,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,master,0,0,590,590,1007
afaulconbridge/JAChemKit,org.neo4j+neo4j-filename:pom.xml,master,0,0,308,935,1149
afaulconbridge/myspringbootexamples,org.neo4j+neo4j-filename:pom.xml,master,0,0,1205,1120,1205
afroje-reshma/spring-boot-sample,org.neo4j+neo4j-filename:pom.xml & org.neo4j.doc+neo4j-filename:pom.xml,master,0,2,917,789,917
afrunt/examples,org.neo4j+neo4j-filename:pom.xml,master,37,8,51,507,525
afuyo/graphQL,org.neo4j+neo4j-filename:pom.xml,master,0,0,105,105,253
