repo,origin,default_branch,stargazers_count,forks_count,updated_days_ago,pushed_days_ago,created_days_ago
aifb/virtrep,org.openrdf.sesame+sesame-filename:pom.xml & org.apache.marmotta+marmotta-ldcache-file-filename:pom.xml & org.openrdf.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml & org.apache.marmotta+marmotta-ldcache-kiwi-filename:pom.xml & org.apache.marmotta+kiwi-sparql-filename:pom.xml & org.apache.marmotta+marmotta-ldcache-common-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.marmotta+marmotta-sparql-filename:pom.xml & org.openrdf.sesame+sesame-queryparser-sparql-filename:pom.xml & org.openrdf.sesame+sesame-sparql-testsuite-filename:pom.xml & org.openrdf.sesame+sesame-repository-sparql-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.openrdf.sesame+sesame-queryresultio-sparqlxml-filename:pom.xml & org.openrdf.sesame+sesame-queryresultio-sparqljson-filename:pom.xml & org.apache.marmotta+marmotta-filename:pom.xml,master,0,0,378,378,504
ailabitmo/ceur-ws-lod,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,3,1204,1204,1548
ailabitmo/DAAFSE,org.apache.jena+jena-filename:pom.xml,master,1,1,1234,1647,1871
ailabitmo/foodpedia,org.apache.jena+jena-filename:pom.xml,master,8,1,338,1469,1879
ailabitmo/linked-learning-scorm-converter,org.openrdf.sesame+sesame-filename:build.xml,master,0,2,1850,1850,1850
ailabitmo/linked-learning-solution,org.openrdf.sesame+sesame-filename:build.xml,master,0,0,1737,1708,1817
aim11/AIRIoT,com.hp.hpl.jena+jena-filename:pom.xml & org.openrdf.sesame+sesame-filename:pom.xml & org.apache.jena+jena-spatial-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-extra-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml & org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-text-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,1,0,230,400,400
aina1205/cdk,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,1,1414,1414,1414
aist-oceanworks/mudrod,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,13,16,208,467,1108
ait-ngcms/annotation-ld,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,master,1,0,204,204,1659
ait-ngcms/ffma,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml,master,1,1,1521,1337,1570
aitoralmeida/c4a_data_repository,org.apache.jena+jena-filename:build.xml,master,3,2,273,273,1099
ajain76/ImportLodData,org.apache.jena+apache-jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,master,0,0,1952,2306,2306
ajinkyaghodake123/Maverick-Full-Project,com.hp.hpl.jena+jena-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & com.hp.hpl.jena+arq-filename:pom.xml & org.eclipse.rdf4j+rdf4j-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,master,0,0,366,366,366
